Date,Hour,Quality of signal (/70),Signal level (dbm),Rx Packets,Rx Errors,Rx Dropped,Tx Packets,Tx Errors,Tx Dropped,X Position,Y Position, X Position (other robot), Y Position (other robot), Time of a round trip (s)
08/09/18,15:18:23,70,-23,1390,0,0,1520,0,0,870.0,287.0,516.0,276.0,294,
08/09/18,15:18:25,70,-25,1432,0,0,1568,0,0,864.0,288.0,525.0,273.0,260,
08/09/18,15:18:27,70,-25,1531,0,0,1646,0,0,811.0,278.0,590.0,233.0,354,
08/09/18,15:18:29,70,-25,1597,0,0,1709,0,0,767.0,347.0,522.0,269.0,207,
08/09/18,15:18:33,70,-25,1676,0,0,1798,0,0,878.0,262.0,577.0,192.0,338,
08/09/18,15:18:36,70,-27,1720,0,0,1850,0,0,780.0,319.0,528.0,267.0,244,
08/09/18,15:18:39,70,-27,1769,0,0,1904,0,0,827.0,363.0,592.0,184.0,300,
08/09/18,15:18:41,70,-31,1821,0,0,1961,0,0,1017.0,339.0,534.0,248.0,327,
08/09/18,15:18:43,70,-32,1839,0,0,1992,0,0,1248.0,496.0,534.0,248.0,305,
08/09/18,15:18:45,70,-34,1895,0,0,2051,0,0,1220.0,443.0,534.0,248.0,263,
08/09/18,15:18:49,70,-40,1925,0,0,2093,0,0,1265.0,557.0,559.0,232.0,339,
08/09/18,15:18:51,70,-37,1952,0,0,2133,0,0,1682.0,493.0,602.0,165.0,393,
08/09/18,15:18:53,69,-41,1991,0,0,2183,0,0,1933.0,528.0,506.0,255.0,253,
08/09/18,15:18:56,70,-40,2012,0,0,2217,0,0,2144.0,433.0,522.0,260.0,209,
08/09/18,15:18:58,60,-50,2033,0,0,2253,0,0,2325.0,693.0,539.0,237.0,364,
08/09/18,15:19:01,61,-49,2203,0,0,2417,0,0,2647.0,489.0,542.0,246.0,201,
08/09/18,15:19:04,70,-39,2233,0,0,2460,0,0,2656.0,797.0,614.0,149.0,310,
08/09/18,15:19:06,64,-46,2279,0,0,2515,0,0,2686.0,977.0,639.0,254.0,381,
08/09/18,15:19:08,67,-43,2302,0,0,2549,0,0,2838.0,955.0,583.0,237.0,281,
08/09/18,15:19:10,61,-49,2339,0,0,2597,0,0,2901.0,1213.0,632.0,262.0,318,
08/09/18,15:19:13,56,-54,2361,0,0,2635,0,0,3137.0,1222.0,594.0,210.0,298,
08/09/18,15:19:15,66,-44,2383,0,0,2672,0,0,3111.0,1653.0,589.0,242.0,206,
08/09/18,15:19:17,60,-50,2405,0,0,2708,0,0,3246.0,1598.0,581.0,233.0,209,
08/09/18,15:19:19,67,-43,2424,0,0,2741,0,0,3230.0,1771.0,520.0,268.0,391,
08/09/18,15:19:21,60,-50,2445,0,0,2776,0,0,3169.0,1941.0,538.0,247.0,164,
08/09/18,15:19:23,59,-51,2463,0,0,2806,0,0,3037.0,2211.0,534.0,269.0,298,
08/09/18,15:19:25,61,-49,2481,0,0,2835,0,0,2914.0,2169.0,540.0,243.0,308,
08/09/18,15:19:27,66,-44,2512,0,0,2879,0,0,2778.0,2379.0,588.0,234.0,368,
08/09/18,15:19:30,67,-43,2549,0,0,2924,0,0,2609.0,2330.0,585.0,235.0,254,
08/09/18,15:19:33,67,-43,2595,0,0,2976,0,0,2333.0,2347.0,487.0,254.0,338,
08/09/18,15:19:35,67,-43,2638,0,0,3025,0,0,2321.0,2309.0,508.0,248.0,306,
08/09/18,15:19:38,66,-44,2680,0,0,3071,0,0,2332.0,2336.0,620.0,249.0,312,
08/09/18,15:19:41,67,-43,2728,0,0,3124,0,0,2314.0,2334.0,573.0,240.0,258,
08/09/18,15:19:44,67,-43,2753,0,0,3161,0,0,2309.0,2325.0,519.0,234.0,314,
08/09/18,15:19:50,62,-48,2928,0,0,3336,0,0,2409.0,2252.0,587.0,257.0,272,
08/09/18,15:19:52,61,-49,2953,0,0,3371,0,0,2480.0,1974.0,532.0,253.0,296,
08/09/18,15:19:54,59,-51,2981,0,0,3410,0,0,2575.0,2000.0,530.0,269.0,306,
08/09/18,15:19:56,61,-49,3048,0,0,3478,0,0,2512.0,2117.0,522.0,236.0,347,
08/09/18,15:19:58,61,-49,3066,0,0,3508,0,0,2569.0,2030.0,528.0,244.0,311,
08/09/18,15:20:01,64,-46,3126,0,0,3572,0,0,2558.0,2086.0,518.0,261.0,323,
08/09/18,15:20:03,64,-46,3144,0,0,3604,0,0,2530.0,2071.0,518.0,253.0,336,
08/09/18,15:20:07,61,-49,3212,0,0,3688,0,0,2453.0,2341.0,628.0,215.0,287,
08/09/18,15:20:10,62,-48,3260,0,0,3743,0,0,2466.0,2123.0,578.0,250.0,416,
08/09/18,15:20:13,63,-47,3308,0,0,3797,0,0,2342.0,2148.0,561.0,211.0,224,
08/09/18,15:20:16,68,-42,3339,0,0,3843,0,0,2307.0,2154.0,533.0,250.0,331,
