Date,Hour,X Position,Y Position
08/02/18,17:40:29,45.5,31.9,
08/02/18,17:40:29,46.4,31.9,
08/02/18,17:40:30,58.0,26.9,
08/02/18,17:40:30,59.1,28.5,
08/02/18,17:40:30,59.7,28.4,
08/02/18,17:40:30,53.5,21.2,
08/02/18,17:40:30,54.1,23.0,
08/02/18,17:40:30,60.7,26.7,
08/02/18,17:40:30,59.6,27.9,
08/02/18,17:40:30,60.9,28.0,
08/02/18,17:40:30,57.0,28.4,
08/02/18,17:40:30,59.3,27.3,
08/02/18,17:40:30,60.6,28.5,
08/02/18,17:40:30,60.2,28.4,
08/02/18,17:40:31,61.4,28.0,
08/02/18,17:40:31,75.2,34.0,
08/02/18,17:40:31,62.5,16.3,
08/02/18,17:40:31,55.5,23.7,
08/02/18,17:40:31,60.1,27.2,
08/02/18,17:40:31,59.7,27.9,
08/02/18,17:40:31,61.8,17.9,
08/02/18,17:40:31,59.4,28.3,
08/02/18,17:40:31,59.7,29.2,
08/02/18,17:40:31,58.7,27.9,
08/02/18,17:40:31,57.6,27.4,
08/02/18,17:40:31,60.1,28.2,
08/02/18,17:40:32,56.2,22.9,
08/02/18,17:40:32,60.6,28.1,
08/02/18,17:40:32,59.4,27.7,
08/02/18,17:40:32,58.2,27.4,
08/02/18,17:40:32,72.5,40.3,
08/02/18,17:40:32,46.0,32.2,
08/02/18,17:40:32,62.2,18.5,
08/02/18,17:40:32,59.3,28.1,
08/02/18,17:40:32,45.4,32.3,
08/02/18,17:40:32,60.3,27.6,
08/02/18,17:40:32,60.4,27.6,
08/02/18,17:40:32,59.5,25.7,
08/02/18,17:40:33,59.3,28.6,
08/02/18,17:40:33,58.7,26.6,
08/02/18,17:40:33,60.4,30.1,
08/02/18,17:40:33,55.3,26.3,
08/02/18,17:40:33,59.6,28.0,
08/02/18,17:40:33,62.5,27.1,
08/02/18,17:40:33,44.2,33.3,
08/02/18,17:40:33,54.7,23.8,
08/02/18,17:40:33,58.9,28.1,
08/02/18,17:40:33,60.8,27.8,
08/02/18,17:40:33,54.5,22.3,
08/02/18,17:40:34,59.9,28.1,
08/02/18,17:40:34,58.9,26.7,
08/02/18,17:40:34,59.9,27.2,
08/02/18,17:40:34,60.2,27.9,
08/02/18,17:40:34,60.1,28.9,
08/02/18,17:40:34,57.9,25.6,
08/02/18,17:40:34,56.1,24.9,
08/02/18,17:40:34,57.4,28.0,
08/02/18,17:40:34,62.3,28.2,
08/02/18,17:40:34,57.1,23.6,
08/02/18,17:40:34,57.8,27.5,
08/02/18,17:40:34,61.2,27.9,
08/02/18,17:40:35,59.3,28.2,
08/02/18,17:40:35,59.4,28.5,
08/02/18,17:40:35,60.0,28.9,
08/02/18,17:40:35,59.1,27.8,
08/02/18,17:40:35,60.7,28.1,
08/02/18,17:40:35,52.8,23.9,
08/02/18,17:40:35,60.4,27.8,
08/02/18,17:40:35,49.3,31.5,
08/02/18,17:40:35,61.3,17.8,
08/02/18,17:40:35,75.3,37.1,
08/02/18,17:40:35,56.3,34.9,
08/02/18,17:40:36,64.5,33.1,
08/02/18,17:40:36,63.3,30.2,
08/02/18,17:40:36,64.3,32.5,
08/02/18,17:40:36,61.8,30.4,
08/02/18,17:40:36,67.1,22.2,
08/02/18,17:40:36,63.5,31.0,
08/02/18,17:40:36,65.2,29.1,
08/02/18,17:40:36,63.9,29.0,
08/02/18,17:40:36,66.3,29.1,
08/02/18,17:40:36,65.2,29.0,
08/02/18,17:40:37,64.7,32.6,
08/02/18,17:40:37,69.1,19.6,
08/02/18,17:40:37,63.0,26.8,
08/02/18,17:40:37,67.2,29.7,
08/02/18,17:40:37,64.3,29.3,
08/02/18,17:40:37,66.7,27.6,
