Date,Hour,X Position,Y Position
08/09/18,09:27:56,59.3,26.8,
08/09/18,09:27:56,65.6,17.1,
08/09/18,09:27:56,62.4,26.9,
08/09/18,09:27:57,66.9,18.8,
08/09/18,09:27:57,58.3,23.1,
08/09/18,09:27:57,63.6,26.0,
08/09/18,09:27:57,62.1,27.4,
08/09/18,09:27:57,62.4,24.8,
08/09/18,09:27:57,47.4,32.6,
08/09/18,09:27:57,62.6,27.7,
08/09/18,09:27:57,62.6,26.7,
08/09/18,09:27:57,63.5,27.0,
08/09/18,09:27:57,63.4,27.8,
08/09/18,09:27:57,76.9,33.4,
08/09/18,09:27:57,61.3,25.6,
08/09/18,09:27:57,61.4,27.0,
08/09/18,09:27:57,60.8,27.8,
08/09/18,09:27:57,63.3,26.0,
08/09/18,09:27:57,48.4,32.6,
08/09/18,09:27:57,61.7,27.0,
08/09/18,09:27:57,63.2,25.8,
08/09/18,09:27:58,63.6,26.0,
08/09/18,09:27:58,63.3,25.7,
08/09/18,09:27:58,64.2,17.2,
08/09/18,09:27:58,62.6,27.3,
08/09/18,09:27:58,59.7,22.8,
08/09/18,09:27:58,61.0,26.0,
08/09/18,09:27:58,48.9,31.3,
08/09/18,09:27:58,61.7,27.1,
08/09/18,09:27:58,48.7,31.6,
08/09/18,09:27:58,57.6,23.3,
08/09/18,09:27:58,55.7,24.3,
08/09/18,09:27:58,62.8,29.2,
08/09/18,09:27:58,62.0,26.1,
08/09/18,09:27:58,63.3,27.4,
08/09/18,09:27:58,66.3,17.7,
08/09/18,09:27:58,57.6,20.9,
08/09/18,09:27:58,62.9,25.2,
08/09/18,09:27:59,63.5,27.4,
08/09/18,09:27:59,63.0,26.4,
08/09/18,09:27:59,76.0,35.5,
08/09/18,09:27:59,61.1,29.2,
08/09/18,09:27:59,62.4,27.0,
08/09/18,09:27:59,57.7,21.8,
08/09/18,09:27:59,74.9,32.0,
08/09/18,09:27:59,51.3,31.8,
08/09/18,09:27:59,48.8,29.7,
08/09/18,09:27:59,76.1,35.2,
08/09/18,09:27:59,62.8,25.7,
08/09/18,09:27:59,62.1,27.7,
08/09/18,09:27:59,48.9,32.7,
08/09/18,09:27:59,60.7,26.5,
08/09/18,09:27:59,63.1,26.2,
08/09/18,09:27:59,62.0,27.1,
08/09/18,09:28:00,64.1,28.6,
08/09/18,09:28:00,66.5,17.5,
08/09/18,09:28:00,64.4,27.1,
08/09/18,09:28:00,63.1,28.3,
08/09/18,09:28:00,64.6,27.6,
08/09/18,09:28:00,64.8,27.5,
08/09/18,09:28:00,54.9,30.9,
08/09/18,09:28:00,67.1,17.9,
08/09/18,09:28:00,66.7,26.5,
08/09/18,09:28:00,54.0,31.8,
08/09/18,09:28:00,54.5,31.6,
08/09/18,09:28:00,67.2,28.5,
08/09/18,09:28:00,66.7,28.3,
08/09/18,09:28:00,66.3,27.0,
08/09/18,09:28:00,66.4,27.2,
08/09/18,09:28:00,67.4,25.7,
08/09/18,09:28:00,68.6,24.7,
08/09/18,09:28:00,69.5,27.1,
08/09/18,09:28:01,71.1,25.2,
